k,val_nll,val_acc,val_entropy_mean,val_entropy_std,test_acc,test_entropy_mean,test_entropy_std,correct_entropy_mean,incorrect_entropy_mean,best_weight_decay
0,1.9251431,0.554,1.9457027,0.0004771404,0.573,1.9456569,0.0007098074,1.9456393,1.9456804,0.01
1,1.8326921,0.258,1.9304143,0.017566478,0.25,1.9306301,0.019493377,1.9257365,1.9322613,0.01
2,1.6650212,0.392,1.8329719,0.099312775,0.37,1.8343221,0.10538789,1.8084909,1.8494931,0.01
3,1.5432737,0.4,1.6838051,0.17166302,0.386,1.6888465,0.17447345,1.6568946,1.7089335,0.01
4,1.4888417,0.408,1.5875394,0.18021838,0.393,1.5952563,0.1830458,1.5628215,1.6162561,0.01
5,1.4841814,0.408,1.5845066,0.18362299,0.391,1.5928147,0.1878338,1.5432582,1.6246316,0.01
6,1.4777702,0.4,1.5972975,0.1939295,0.388,1.6047002,0.19740921,1.5521482,1.6380174,0.01
7,1.4748411,0.412,1.6099199,0.19727023,0.39,1.6163218,0.20125006,1.565888,1.6485662,0.01
8,1.4131004,0.398,1.3330481,0.2850651,0.374,1.3351598,0.29188025,1.2161336,1.4062712,0.01
